,mx,my,mz
51,19.5375,47.5125,4.0875
52,19.331251,46.575,3.6375
53,22.575,45.787502,6.4875
54,16.612501,37.03125,31.25625
55,22.425001,39.112503,23.38125
56,18.431252,45.412502,14.250001
57,20.53125,47.662502,4.70625
58,21.0,45.84375,6.20625
59,18.712502,45.525,1.7437501
60,21.300001,46.875,3.075
61,18.525002,37.74375,30.675001
62,24.31875,37.3875,24.993752
63,22.181252,43.59375,15.31875
64,20.625,46.55625,4.7250004
65,23.6625,44.381252,3.075
66,22.78125,43.706253,5.71875
67,22.96875,44.49375,5.3625
68,18.018751,36.05625,33.506252
69,22.2,36.16875,27.69375
70,22.425001,41.4,18.13125
71,21.675001,46.0125,3.9
72,24.562502,44.925003,-1.5
73,24.862501,44.11875,5.64375
74,28.06875,43.18125,4.59375
75,23.1375,35.5125,28.650002
76,26.212502,35.662502,25.968752
77,26.343752,40.48125,16.743752
78,23.775002,45.693752,-1.5
79,24.712502,43.256252,-2.9250002
80,23.962502,44.362503,3.8812501
81,26.025002,43.6875,3.99375
82,23.41875,35.79375,31.725
83,28.2,32.9625,26.79375
84,24.056252,42.15,17.56875
85,23.8125,45.43125,-0.69375
86,24.281252,44.662502,-2.9437501
87,23.0625,45.037502,6.0
88,24.900002,43.85625,7.275
89,23.60625,33.975002,31.275002
90,27.525002,34.0125,26.625002
91,24.243752,41.550003,15.637501
92,24.300001,44.68125,-1.5
93,25.987501,43.237503,-2.79375
94,24.300001,44.9625,0.13125001
95,25.500002,43.21875,4.2000003
96,23.1,34.725002,31.275002
97,26.812502,36.975002,28.35
98,26.5125,40.18125,16.087502
99,23.1,44.30625,1.3125
100,26.98125,43.0875,-4.7625003
101,23.98125,42.862503,4.89375
102,26.5125,41.4375,1.95
103,27.16875,34.74375,27.750002
104,30.35625,33.91875,25.406252
105,27.54375,39.787502,16.875
106,24.54375,44.1375,1.9312501
107,26.85,41.756252,-2.4562502
108,26.6625,43.0875,4.96875
109,27.31875,43.237503,1.7062501
110,27.69375,32.643753,29.081251
111,30.843752,33.15,22.96875
112,28.06875,40.275,15.88125
113,26.081251,44.0625,-0.71250004
114,26.081251,43.7625,-3.7875001
115,25.143751,45.45,3.4875002
116,27.54375,42.393753,1.8750001
117,27.975,33.975002,28.556252
118,30.50625,32.53125,26.250002
119,28.781252,40.48125,18.6
120,25.312502,44.568752,-0.71250004
121,26.2875,43.2,-2.8125
122,25.518751,43.21875,4.6875
123,27.187502,42.05625,4.33125
124,27.4125,34.2,30.843752
125,33.05625,32.643753,26.175001
126,28.050001,37.8375,18.712502
127,25.968752,43.95,0.75
128,27.656252,42.206253,-3.4687502
129,25.875002,43.85625,4.65
130,27.525002,43.125,5.5875
131,26.250002,35.4,27.6
132,31.706251,30.91875,30.468752
133,28.575,37.256252,21.6375
134,26.8875,43.29375,1.3875
135,24.69375,43.237503,-4.21875
136,24.768751,43.575,4.6875
