,ax,ay,az
501,-13.03191,-6.524629,8.530712
502,-5.9724855,-4.3328037,6.398707
503,-0.034097724,-2.5911279,5.7110696
504,8.141878,-1.2137593,4.3265224
505,12.561421,-0.552742,6.873084
506,14.542679,1.430908,12.05205
507,13.859827,-3.4752758,16.00948
508,12.841681,-6.4002023,15.3290205
509,10.865508,-6.023931,9.000303
510,7.4590263,-3.024827,0.78843504
511,4.380959,-1.0797613,-3.2455647
512,2.8429725,0.75523466,-0.99631155
513,1.2978072,0.4941179,4.846363
514,-4.417749,-0.8665009,14.644074
515,-10.593325,-2.0808585,10.8664055
516,-12.114562,-4.8215375,0.8913264
517,-7.778767,-10.117751,-7.3417783
518,-3.1265218,-15.055042,-10.230812
519,-2.0892332,-20.195723,-2.1077776
520,-4.130311,-32.070103,2.9156544
521,-7.7739816,-40.758743,-2.630011
522,-9.745368,-35.603706,-2.4454648
523,-9.783653,-28.36452,0.5703891
524,-10.638788,-23.149363,3.1217363
525,-13.422539,-23.93032,3.4139597
526,-16.630117,-24.711277,1.9477576
527,-15.607185,-24.081367,3.667898
528,-9.27817,-21.07,5.0069814
529,0.054735817,-18.434904,4.961518
530,9.679865,-18.188442,6.2237315
531,11.392528,-18.013468,6.465706
532,15.649359,-17.862421,2.9922247
533,14.1879425,-16.422838,-0.17467605
534,5.660222,-12.115758,-3.4851463
535,4.941478,-8.663813,-3.4851463
536,2.0620148,-4.0740795,-6.3717875
537,-1.4904294,0.8344969,-10.312168
538,-4.039384,3.8718863,-11.752049
539,-6.604789,8.574081,-10.9375925
540,-6.6071815,11.420045,-11.886047
541,-4.3579283,15.492331,-14.966806
542,-2.7433712,15.113965,-25.614868
543,-1.3707882,13.084851,-23.006092
544,0.11934203,9.069994,-14.147564
545,1.3890336,4.4922256,-5.823233
546,1.0247263,1.2750753,-1.4703895
547,-0.44835514,-3.8727834,1.9453648
548,-2.4224339,-6.9344,7.481459
549,-5.898308,-10.956436,19.665113
550,-5.1029935,-12.314662,40.644783
551,2.225026,-15.493228,38.35934
552,6.3068824,-20.454447,27.411877
553,-3.394817,-21.620947,-28.899015
554,-4.386642,-14.834603,-28.216166
555,-3.9987056,-25.111177,30.406494
556,-16.09592,-25.365116,-25.581367
557,-4.400999,-12.043974,-17.640188
558,-2.1708884,-5.6359944,-13.852947
559,1.8894325,-2.4643083,-15.536897
560,0.33260235,-3.295515,-14.056337
561,-5.052445,-7.923533,-10.21167
562,-11.254642,-14.793925,-5.5980086
563,-14.06202,-23.288446,0.17766708
564,-10.758729,-33.22494,6.5497537
565,-4.7988057,-38.557346,7.9223366
566,1.7075781,-36.928432,0.37627137
567,6.1701922,-34.147076,-5.6410794
568,5.9261246,-29.370403,-5.3943195
569,2.088336,-25.861029,6.2380886
570,-4.295715,-22.368404,21.22673
571,-11.082059,-16.21915,18.258732
572,-13.820046,-10.810175,10.612468
573,-14.220246,-7.1808605,9.086445
574,-11.216356,-5.4346986,8.458927
575,-5.8453665,-3.2859437,7.795218
576,1.829612,-2.4284158,7.5460653
577,8.752646,-2.1816561,6.544669
578,14.554643,-2.0521445,8.717651
579,17.740686,-0.49262238,11.668899
580,18.821045,-3.4920256,13.721642
581,16.236198,-5.2166524,10.250553
582,12.379567,-4.0884366,4.5613184
583,7.8233337,-1.6857436,-2.8839495
584,5.348557,0.63798636,-3.7749767
585,0.9457632,-0.37537405,5.974579
586,-3.6990047,-1.2472588,15.484853
587,-11.561222,-2.2151556,13.000804
588,-12.612867,-2.5600212,3.2557342
589,-11.623435,-3.8368912,-5.552545
590,-8.588439,-8.603992,-6.136992
591,-3.370889,-14.166408,-11.416755
592,-1.1096715,-16.44916,-9.035598
593,-4.8825545,-24.212973,3.5671003
594,-10.4210415,-37.306797,1.5957136
595,-15.911373,-45.6742,-2.3282163
596,-11.359925,-33.984364,-0.39481574
597,-8.468498,-25.650162,3.4881372
598,-8.902198,-23.801107,3.9840498
599,-12.004193,-24.352055,5.4981084
600,-10.928619,-22.85714,7.112665
601,-3.0619156,-21.321545,7.6348987
602,3.336492,-20.598314,10.521241
603,10.333704,-21.101107,8.576176
604,13.270595,-20.49991,3.9457645
605,14.413167,-18.621843,-1.0728818
606,13.902898,-16.010675,-4.4674
607,4.0528436,-9.092726,-8.589934
608,6.3403816,-7.5547395,-10.4871435
609,-1.4928222,-3.649952,-8.867801
610,-4.4727836,1.3133606,-11.682657
611,-7.974979,5.9967127,-11.435898
612,-10.07827,10.670195,-11.689836
613,-9.029017,15.734304,-13.491034
614,-5.3159547,19.059431,-18.718155
615,-2.1900308,16.579868,-24.48396
616,0.06669993,13.24547,-17.824734
617,2.7999015,7.1105714,-10.7482605
618,3.4657044,2.8992038,-4.194319
619,2.8094728,-0.9502497,-1.2765709
620,0.33499518,-5.0129633,1.3130615
621,-2.053341,-8.649456,8.42782
622,-3.4884362,-11.282159,16.210775
623,-3.330211,-13.0570345,28.990541
624,0.87637126,-15.359229,30.873394
625,6.457929,-15.958034,21.097517
626,6.472286,-16.101902,2.038984
627,-2.4846473,-8.531908,-35.1392
628,-5.675476,-6.469594,-21.992731
629,-6.046663,-8.769096,57.02276
630,-15.885053,-24.799812,-40.438103
631,-9.934701,-23.091934,-37.14199
632,-7.146165,-14.901602,-15.410077
633,0.7851449,-7.3486576,-12.506686
634,3.784548,-6.4360948,-8.56122
635,2.088336,-8.95125,-4.941478
636,-2.0820549,-16.204794,-1.8753748
637,-4.1590247,-28.24458,1.7057835
638,-2.5851457,-35.790344,2.7526433
639,0.09302098,-37.527237,-4.304389
640,1.7482561,-33.483665,-11.754442
641,-0.06520442,-27.281767,-10.324431
642,-4.1015973,-24.656242,7.050153
643,-9.520144,-22.622343,23.629423
644,-16.167704,-17.824137,19.442282
645,-17.660227,-15.926927,11.508281
646,-16.872091,-12.868002,8.616854
647,-12.24856,-10.347761,10.964512
648,-7.153343,-8.515159,10.26491
649,0.15044872,-6.347261,7.4527454
650,6.3858457,-4.36391,4.918148
651,10.865508,-2.507379,5.4020963
652,16.150057,0.30987054,8.405986
653,17.06262,2.43709,8.006085
654,15.529419,0.13968103,5.143372
655,12.999907,-0.49262238,2.566003
656,11.155339,0.25932217,2.9371898
657,8.999406,0.7289136,4.633103
658,4.7545385,-0.08315059,7.3666034
659,-0.19202402,-1.5323038,9.608679
660,-5.447859,-2.7852457,10.940583
661,-9.069695,-3.4342988,8.640781
662,-12.428321,-7.3199434,2.0294127
663,-10.732408,-12.187543,-2.1771696
664,-3.5841491,-18.224335,-12.027523
665,-2.2307088,-22.035503,-5.825626
666,-5.124529,-29.79453,0.54646087
667,-9.937094,-37.048073,-0.9242278
668,-9.922736,-32.556446,0.75972116
669,-10.167104,-24.555445,2.2615166
670,-10.66511,-21.831814,4.281059
671,-12.842877,-23.024937,4.2667017
672,-18.601503,-26.359335,2.513062
673,-16.8024,-24.981966,4.8966126
674,-11.609078,-21.038893,8.403593
675,-2.606681,-17.8361,5.1050873
676,3.4417763,-18.547667,5.2031927
677,11.323136,-17.714066,4.1781673
678,14.441881,-17.536697,4.328915
679,14.405989,-17.37877,-0.47168517
680,12.518351,-15.86232,-0.8285148
681,9.372986,-14.511273,-2.169991
682,2.847758,-8.079366,-4.273282
683,-0.13938192,-4.7685966,-6.8629146
684,-3.7974095,2.5471597,-10.712368
685,-6.710372,6.5404816,-11.057234
686,-8.823235,12.263216,-11.909976
687,-7.5990067,17.811274,-12.132807
688,-2.2331018,18.72623,-26.563322
689,0.6966105,15.487545,-25.257738
690,2.728117,9.659226,-17.324036
691,4.412066,4.983352,-8.786445
692,2.754438,1.3588241,-2.7759733
693,-0.77677006,-2.603092,0.32362926
694,-3.2440693,-5.386842,4.9399824
695,-8.130812,-9.789636,18.97269
696,-8.1738825,-11.46162,46.468315
697,0.7516454,-15.955641,36.371204
698,-1.9217356,-21.309582,13.441382
699,-9.709476,-20.088045,-29.286953
700,-4.81077,-18.434904,-8.491829
701,-7.3378897,-29.452057,11.1682005
702,-0.4244269,-15.174683,-24.611078
703,-1.2125629,-11.131112,-22.70669
704,2.5316064,-6.6514487,-21.489641
705,5.784649,-4.5170507,-18.51925
706,3.0490541,-5.925825,-14.724833
707,-3.330211,-11.914462,-9.306286
708,-9.136993,-21.048464,-0.6008976
709,-11.017453,-28.972895,11.69522
710,-7.4623165,-34.25505,12.641282
711,-4.182953,-34.453655,1.7587247
712,-0.70947194,-31.025936,-12.372389
713,1.1207383,-28.115368,-12.403495
714,-1.7778672,-26.411976,2.8630123
715,-8.243274,-24.790241,23.950659
716,-12.895519,-18.674486,21.811476
717,-14.431113,-13.473985,10.049556
718,-14.862121,-10.779068,8.545069
719,-13.079767,-8.088937,9.572786
720,-8.212168,-5.9545393,8.499605
721,-2.554039,-4.70399,7.795218
722,6.946364,-3.1061828,5.241777
723,11.972189,-2.4236302,5.5052867
724,16.334305,-1.3121641,9.776475
725,19.96362,-0.31076783,13.443775
726,18.847366,-3.7938204,11.906087
727,14.894723,-4.6154556,9.412168
728,13.759329,-4.162614,8.420642
729,6.876972,0.55393845,-2.495714
730,5.5761743,2.4825535,-2.2704897
731,1.3121641,1.6319051,5.157729
732,-4.9088755,0.15882361,14.148162
733,-11.92523,-2.155335,10.145268
734,-13.724334,-3.44387,6.0490556
735,-12.212667,-8.575278,-1.451247
736,-5.1412787,-15.129219,-8.896515
737,0.07148558,-19.37648,-9.483355
738,-0.9059825,-24.02364,0.4339982
739,-6.233602,-38.15236,0.84347
740,-12.612867,-47.482872,0.12233306
741,-12.816257,-37.66841,-0.45732823
742,-11.7311125,-26.076681,1.5885352
743,-11.982657,-22.26312,2.3288147
744,-15.956837,-22.998615,3.3059835
745,-17.971594,-22.873888,5.3973107
746,-18.24946,-21.520449,8.578568
747,-3.0930223,-17.004892,4.9806604
748,8.714361,-16.964214,5.581857
749,14.224134,-16.612171,5.042874
750,18.128622,-17.886349,0.8386843
751,16.612171,-17.730816,-2.0599213
752,10.412667,-15.122041,-2.4382863
753,3.9759738,-10.158729,-2.9006991
754,0.94337034,-3.8081772,-5.9237313
755,0.73489565,-0.20039889,-8.515757
756,-3.2273195,4.901996,-10.913664
757,-6.154639,9.343075,-12.156735
758,-6.7319074,12.708879,-13.309178
759,-6.1977096,15.90928,-22.335205
760,-5.4789658,14.706587,-26.632713
761,-4.453641,14.476577,-17.688044
762,-3.5410783,11.410474,-9.425926
763,-2.038984,5.4242296,-4.6950173
764,-1.3133606,0.80548394,-3.159423
765,-1.8858434,-3.4342988,-0.4764708
766,-3.301497,-6.387939,4.3408794
767,-4.9064827,-10.513165,20.702103
768,-2.8869405,-14.250156,43.102512
769,4.9845486,-15.867106,28.233812
770,9.502497,-17.615662,14.603396
771,3.9376888,-16.046867,-13.354642
772,-4.8394837,-8.848359,-30.211779
773,-2.1107686,-5.563911,1.0926226
774,0.38763726,-13.318151,35.319557
775,-11.709577,-18.928423,-29.51457
776,-10.073484,-17.254045,-19.542183
777,-6.9523463,-12.247364,-13.373785
778,-4.0609193,-9.9909315,-11.538789
779,-2.9805596,-11.239088,-8.453544
780,-3.411567,-13.806886,-3.2910285
781,-4.523332,-16.84936,2.2761726
782,-4.7916274,-22.928925,6.358029
783,-4.362714,-31.49523,5.593821
784,-1.6941184,-36.6386,-2.2633111
785,3.0203404,-34.513775,-12.305389
786,4.3737807,-27.296124,-14.2337055
787,1.4440684,-25.61427,-0.4884349
788,-7.524829,-25.784458,26.68386
789,-14.646467,-21.767208,24.614069
790,-18.014664,-16.851753,10.923834
791,-19.21945,-13.100405,10.34178
792,-14.409279,-10.098609,10.221839
793,-5.8863435,-8.3835535,8.018049
794,2.9602208,-6.7235327,6.3125653
795,11.243874,-3.388835,7.146165
796,15.342779,-1.8005991,8.295917
797,19.35285,1.035494,9.888938
798,20.449959,1.6848463,7.927122
799,19.51317,0.30029923,4.132405
800,16.401604,0.6044868,1.9812572
801,13.399807,1.1673983,0.19202402
802,9.691829,0.48933223,0.99690974
803,4.8768716,-1.189831,3.871587
804,-0.5057829,-3.2117662,9.1821575
805,-7.1509504,-5.2022953,14.713467
806,-8.808877,-5.5686965,14.763716
807,-13.551751,-6.486344,1.2723835
808,-11.278569,-9.490233,-3.5234313
809,-4.8993044,-14.367405,-11.356635
810,-1.9408783,-16.588243,-10.451251
811,-5.205885,-24.059832,0.20398813
812,-9.795618,-35.165222,-1.3770695
813,-13.506288,-40.293938,-2.8815567
814,-11.79841,-33.86442,0.20638095
815,-9.654441,-26.225336,2.9395826
816,-9.208778,-23.391336,4.4129634
817,-10.121341,-22.912174,4.7913284
818,-9.450752,-21.503698,4.4368916
819,-2.2378874,-20.03032,6.774679
820,1.3746766,-19.457836,8.568997
821,6.1677995,-18.803997,8.957232
822,11.315957,-18.502201,4.5038905
823,12.192628,-18.291334,-0.9098708
824,9.58146,-15.898212,-2.4598217
825,5.1738806,-12.058331,-4.043272
826,0.61764735,-6.7235327,-6.163313
827,-1.753939,-3.1253254,-7.3417783
828,-3.5865421,-0.025722843,-8.546864
829,-6.406184,5.51755,-10.631012
830,-7.1485577,8.943174,-10.384252
831,-7.225427,14.400006,-11.989238
832,-4.511069,17.106888,-18.286848
833,-3.2201412,16.32593,-21.245274
834,-0.6472585,12.265609,-15.127126
835,2.114657,8.190931,-10.942378
836,3.0681968,4.156931,-5.092525
837,1.3576277,-0.011365907,-1.2382857
838,-0.7692925,-2.7014968,1.4856437
839,-4.252345,-6.6852474,7.385746
840,-5.124529,-9.399306,20.678175
841,-1.2819548,-11.349157,30.83511
842,5.343771,-12.923037,24.71696
843,4.4312086,-16.001104,14.461921
844,-5.3569317,-14.376976,-24.486353
845,-6.4444695,-9.581161,-16.76591
846,-9.115458,-21.494127,59.123657
847,-12.986446,-27.67449,-38.296528
848,-6.652645,-21.78635,-32.453854
849,-3.8237305,-10.903495,-12.70529
850,0.57457656,-7.4324064,-10.40818
851,3.1806595,-6.4360948,-5.6147585
852,-0.99930257,-8.170293,-5.0829535
853,-4.3674994,-10.985149,-4.2134614
854,-8.193025,-18.784855,-0.24885355
855,-6.1570315,-30.204002,2.661716
856,-2.4320052,-36.623943,0.721436
857,0.21026929,-36.684063,-3.0873394
858,2.1385853,-30.230621,-7.765906
859,1.6453646,-24.411875,-6.580262
860,1.2451651,-23.472692,-4.929514
861,-7.5702925,-21.985254,19.324736
862,-13.37229,-18.367905,20.706888
863,-14.189139,-13.864313,10.562219
864,-14.332708,-10.2927265,6.669395
865,-11.494223,-8.654242,8.8014
866,-5.7257257,-7.7775707,7.9055867
867,1.3313067,-6.378368,5.5340004
868,8.302197,-3.990331,5.2226343
869,13.773685,-1.4126626,6.832406
870,16.54278,0.8344969,9.565608
871,17.53939,0.47018966,10.245768
872,16.375282,-2.0712872,7.347162
873,12.971192,-2.7972097,5.18405
874,9.701401,-1.5275182,3.3804603
875,7.478169,0.3361916,4.288237
876,4.88405,0.41754755,6.38435
877,-0.036490545,-0.74177504,9.845867
878,-5.395217,-2.1601207,12.09512
879,-11.12513,-4.124329,7.941479
880,-13.86551,-6.2252274,3.3804603
881,-10.667502,-11.945569,-2.3928227
882,-4.6501517,-17.191832,-11.974881
883,-2.7074788,-20.274685,-7.43779
884,-6.207281,-32.187653,-1.2335001
885,-10.952847,-41.860638,-3.4205399
